"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bulgaria","BGR","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.0914125621219","47.9866680025447","47.8738873106181","47.7614283313615","47.6491279327422","47.5746880755825","47.5805730706897","47.5864263125177","47.5922478409454","49.3683448971329","51.1676368008619","52.9901125901862","54.8358553165742","56.7048662589912","58.5971394880787","60.512706137007","62.4515546266572","64.4137123167869","","",
"Bahrain","BHR","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.8544002397882","95.8679202175221","95.8814401952561","95.8949601729901","95.908480150724","95.922000128458","95.9355201061919","95.9490400839259","95.9625600616598","95.9760800393938","95.9896000171277","96","96","96","96","96","96","96","","",
"Bahamas, The","BHS","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.75906758777","18.5449771795193","18.6632572136704","18.8202136782832","18.9764328975545","19.1332294398571","19.289715192842","19.4456040946846","19.6012971421411","19.7568516500841","19.9123249571157","20.0676099906335","20.2227677368863","20.3925121139555","20.5941718684564","20.9150540915744","21.235348557112","21.554970103424","","",
"Belarus","BLR","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.0929951050287","90.0665103397465","90.04023728405","90.0142398381616","89.4220756383657","88.8143570346066","88.1908436881493","87.5512848900753","86.8954184141614","86.223022638557","85.53443096219","84.830293493714","84.1102559867902","83.374001092367","82.621162081087","81.509973196597","80.385153657365","80.5157659268434","","",
"Belize","BLZ","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0199128083814","13.4428760410157","13.8597664884199","14.2731777375881","14.6839271235891","15.0918880452081","15.4972904991899","16.1325412842487","16.7766010280984","17.4292475061405","18.0905259416666","18.7604753493573","19.4390128107847","20.1229118595197","20.8135647837325","21.5130112260966","22.2212900255231","22.9382712895571","","",
"Brazil","BRA","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6043229408863","26.8273814196899","27.0442634996981","27.2581068236633","27.4688734551601","27.6766265627802","27.8815102551261","29.5369756711485","31.2494388494985","33.0189765200196","34.8460302221653","36.7318949697735","38.6759477326533","40.6781977280616","42.7392664341686","44.8591312885754","47.0378556676988","49.2757870914179","","",
"Barbados","BRB","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.7969978675604","76.7973961196238","76.7974890726061","77.477544720304","78.1576231529951","78.8016683464477","79.4366893075745","80.0709778287639","80.7043782742065","81.3368956452862","81.9685365652424","82.5992192792987","82.5521446816338","82.5050346818934","82.4578927164261","82.4107334799446","82.3635458923138","82.3163979702352","","",
"Central Europe and the Baltics","CEB","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.3275562199589","73.6951893017435","74.0440049183977","74.3283622481604","74.8971411768131","75.4925295347557","76.2393326926775","77.0396731309314","77.8622288524917","78.7920779212669","79.7120336442851","80.6543128820173","81.604544133555","82.5391916805306","83.4541968383618","84.3910141136349","85.3359400657891","86.1255752169972","","",
"Switzerland","CHE","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.9116250661091","97.9587438674243","98.0445547201629","98.1901189014952","98.3357172171656","98.4813404052242","98.6269941999834","98.772675356237","98.8900873540567","99.0075697385685","99.1251492257488","99.2427863807363","99.3604823865507","99.4782371773789","99.5396576087075","99.5393348939324","99.5390052221761","99.5393104753731","","",
"Channel Islands","CHI","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","90","90","90","90","90","90","90","","",
"Chile","CHL","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.4966310713769","48.7340172851715","48.9632809415709","49.1699256782268","51.1239229763265","53.0945799116012","55.0822259372423","57.0865712215994","59.1078666946297","61.1457983017748","63.2003233204841","65.2717280628599","67.3596566021566","69.4642454118215","71.5522482708919","73.5877017873445","75.6335759092128","77.4648230881742","","",
